date,ACM1,ACM0
Fri Mar  5 00:24:32 2021,    pH:6.83 ,    pH:6.53 
Fri Mar  5 00:29:34 2021,    pH:6.84 ,    pH:6.56 
Fri Mar  5 00:34:36 2021,    pH:6.84 ,    pH:6.55 
Fri Mar  5 00:39:37 2021,    pH:6.82 ,    pH:6.56 
Fri Mar  5 00:44:39 2021,    pH:6.84 ,    pH:6.55 
Fri Mar  5 00:49:41 2021,    pH:6.82 ,    pH:6.53 
Fri Mar  5 00:54:43 2021,    pH:6.84 ,    pH:6.55 
Fri Mar  5 00:59:45 2021,    pH:6.83 ,    pH:6.54 
Fri Mar  5 01:04:46 2021,    pH:6.84 ,    pH:6.56 
Fri Mar  5 01:09:48 2021,    pH:6.84 ,    pH:6.55 
Fri Mar  5 01:14:50 2021,    pH:6.85 ,    pH:6.55 
Fri Mar  5 01:19:52 2021,    pH:6.85 ,    pH:6.55 
Fri Mar  5 01:24:54 2021,    pH:6.84 ,    pH:6.54 
Fri Mar  5 01:29:55 2021,    pH:6.81 ,    pH:6.54 
Fri Mar  5 01:34:57 2021,    pH:6.82 ,    pH:6.54 
Fri Mar  5 01:39:59 2021,    pH:6.86 ,    pH:6.56 
Fri Mar  5 01:45:01 2021,    pH:6.82 ,    pH:6.56 
Fri Mar  5 01:50:03 2021,    pH:6.85 ,    pH:6.56 
Fri Mar  5 01:55:05 2021,    pH:6.83 ,    pH:6.54 
Fri Mar  5 02:00:06 2021,    pH:6.83 ,    pH:6.55 
Fri Mar  5 02:05:08 2021,    pH:6.86 ,    pH:6.57 
Fri Mar  5 02:10:10 2021,    pH:6.84 ,    pH:6.57 
Fri Mar  5 02:15:12 2021,    pH:6.84 ,    pH:6.56 
Fri Mar  5 02:20:14 2021,    pH:6.84 ,    pH:6.56 
Fri Mar  5 02:25:15 2021,    pH:6.86 ,    pH:6.55 
Fri Mar  5 02:30:17 2021,    pH:6.86 ,    pH:6.55 
Fri Mar  5 02:35:19 2021,    pH:6.83 ,    pH:6.54 
Fri Mar  5 02:40:21 2021,    pH:6.83 ,    pH:6.54 
Fri Mar  5 02:45:23 2021,    pH:6.83 ,    pH:6.54 
Fri Mar  5 02:50:24 2021,    pH:6.84 ,    pH:6.55 
Fri Mar  5 02:55:26 2021,    pH:6.86 ,    pH:6.55 
Fri Mar  5 03:00:28 2021,    pH:6.84 ,    pH:6.54 
Fri Mar  5 03:05:30 2021,    pH:6.86 ,    pH:6.55 
Fri Mar  5 03:10:32 2021,    pH:6.87 ,    pH:6.58 
Fri Mar  5 03:15:33 2021,    pH:6.86 ,    pH:6.56 
Fri Mar  5 03:20:35 2021,    pH:6.86 ,    pH:6.56 
Fri Mar  5 03:25:37 2021,    pH:6.85 ,    pH:6.56 
Fri Mar  5 03:30:39 2021,    pH:6.85 ,    pH:6.59 
Fri Mar  5 03:35:40 2021,    pH:6.85 ,    pH:6.56 
Fri Mar  5 03:40:42 2021,    pH:6.85 ,    pH:6.56 
Fri Mar  5 03:45:44 2021,    pH:6.86 ,    pH:6.55 
Fri Mar  5 03:50:46 2021,    pH:6.85 ,    pH:6.56 
Fri Mar  5 03:55:48 2021,    pH:6.83 ,    pH:6.55 
Fri Mar  5 04:00:49 2021,    pH:6.83 ,    pH:6.55 
Fri Mar  5 04:05:51 2021,    pH:6.83 ,    pH:6.53 
Fri Mar  5 04:10:53 2021,    pH:6.86 ,    pH:6.56 
Fri Mar  5 04:15:55 2021,    pH:6.82 ,    pH:6.52 
Fri Mar  5 04:20:57 2021,    pH:6.83 ,    pH:6.54 
Fri Mar  5 04:25:59 2021,    pH:6.85 ,    pH:6.54 
Fri Mar  5 04:31:00 2021,    pH:6.82 ,    pH:6.53 
Fri Mar  5 04:36:02 2021,    pH:6.82 ,    pH:6.54 
Fri Mar  5 04:41:04 2021,    pH:6.83 ,    pH:6.53 
Fri Mar  5 04:46:06 2021,    pH:6.82 ,    pH:6.53 
Fri Mar  5 04:51:08 2021,    pH:6.79 ,    pH:6.52 
Fri Mar  5 04:56:10 2021,    pH:6.81 ,    pH:6.53 
Fri Mar  5 05:01:11 2021,    pH:6.82 ,    pH:6.53 
Fri Mar  5 05:06:13 2021,    pH:6.79 ,    pH:6.54 
Fri Mar  5 05:11:15 2021,    pH:6.83 ,    pH:6.54 
Fri Mar  5 05:16:17 2021,    pH:6.80 ,    pH:6.52 
Fri Mar  5 05:21:19 2021,    pH:6.83 ,    pH:6.53 
Fri Mar  5 05:26:20 2021,    pH:6.84 ,    pH:6.54 
Fri Mar  5 05:31:22 2021,    pH:6.82 ,    pH:6.53 
Fri Mar  5 05:36:24 2021,    pH:6.81 ,    pH:6.54 
Fri Mar  5 05:41:26 2021,    pH:6.83 ,    pH:6.56 
Fri Mar  5 05:46:28 2021,    pH:6.82 ,    pH:6.55 
Fri Mar  5 05:51:29 2021,    pH:6.84 ,    pH:6.56 
Fri Mar  5 05:56:31 2021,    pH:6.83 ,    pH:6.56 
Fri Mar  5 06:01:33 2021,    pH:6.84 ,    pH:6.57 
Fri Mar  5 06:06:35 2021,    pH:6.87 ,    pH:6.57 
Fri Mar  5 06:11:37 2021,    pH:6.81 ,    pH:6.53 
Fri Mar  5 06:16:39 2021,    pH:6.84 ,    pH:6.57 
Fri Mar  5 06:21:40 2021,    pH:6.86 ,    pH:6.58 
Fri Mar  5 06:26:42 2021,    pH:6.87 ,    pH:6.58 
Fri Mar  5 06:31:44 2021,    pH:6.88 ,    pH:6.63 
Fri Mar  5 06:36:46 2021,    pH:6.87 ,    pH:6.58 
Fri Mar  5 06:41:48 2021,    pH:6.85 ,    pH:6.60 
Fri Mar  5 06:46:49 2021,    pH:6.88 ,    pH:6.58 
Fri Mar  5 06:51:51 2021,    pH:6.87 ,    pH:6.60 
Fri Mar  5 06:56:53 2021,    pH:6.86 ,    pH:6.60 
Fri Mar  5 07:01:55 2021,    pH:6.91 ,    pH:6.63 
Fri Mar  5 07:06:57 2021,    pH:6.88 ,    pH:6.60 
Fri Mar  5 07:11:58 2021,    pH:6.87 ,    pH:6.61 
Fri Mar  5 07:17:00 2021,    pH:6.90 ,    pH:6.60 
Fri Mar  5 07:22:02 2021,    pH:6.90 ,    pH:6.62 
Fri Mar  5 07:27:04 2021,    pH:6.88 ,    pH:6.61 
Fri Mar  5 07:32:06 2021,    pH:6.89 ,    pH:6.61 
Fri Mar  5 07:37:07 2021,    pH:6.89 ,    pH:6.61 
Fri Mar  5 07:42:09 2021,    pH:6.86 ,    pH:6.60 
Fri Mar  5 07:47:11 2021,    pH:6.89 ,    pH:6.61 
Fri Mar  5 07:52:13 2021,    pH:6.91 ,    pH:6.64 
Fri Mar  5 07:57:15 2021,    pH:6.87 ,    pH:6.60 
Fri Mar  5 08:02:17 2021,    pH:6.91 ,    pH:6.62 
Fri Mar  5 08:07:18 2021,    pH:6.88 ,    pH:6.61 
Fri Mar  5 08:12:20 2021,    pH:6.86 ,    pH:6.61 
Fri Mar  5 08:17:22 2021,    pH:6.86 ,    pH:6.59 
Fri Mar  5 08:22:24 2021,    pH:6.87 ,    pH:6.59 
Fri Mar  5 08:27:26 2021,    pH:6.85 ,    pH:6.57 
Fri Mar  5 08:32:28 2021,    pH:6.82 ,    pH:6.57 
Fri Mar  5 08:37:29 2021,    pH:6.86 ,    pH:6.56 
Fri Mar  5 08:42:31 2021,    pH:6.84 ,    pH:6.56 
Fri Mar  5 08:47:33 2021,    pH:6.82 ,    pH:6.56 
Fri Mar  5 08:52:35 2021,    pH:6.80 ,    pH:6.54 
Fri Mar  5 08:57:36 2021,    pH:6.85 ,    pH:6.56 
Fri Mar  5 09:02:38 2021,    pH:6.84 ,    pH:6.55 
Fri Mar  5 09:07:40 2021,    pH:6.80 ,    pH:6.53 
Fri Mar  5 09:12:42 2021,    pH:6.82 ,    pH:6.52 
Fri Mar  5 09:17:44 2021,    pH:6.81 ,    pH:6.52 
Fri Mar  5 09:22:45 2021,    pH:6.78 ,    pH:6.50 
Fri Mar  5 09:27:47 2021,    pH:6.83 ,    pH:6.53 
Fri Mar  5 09:32:49 2021,    pH:6.81 ,    pH:6.52 
Fri Mar  5 09:37:51 2021,    pH:6.80 ,    pH:6.51 
Fri Mar  5 09:42:52 2021,    pH:6.76 ,    pH:6.48 
Fri Mar  5 09:47:54 2021,    pH:6.80 ,    pH:6.50 
Fri Mar  5 09:52:56 2021,    pH:6.80 ,    pH:6.49 
Fri Mar  5 09:57:58 2021,    pH:6.80 ,    pH:6.51 
Fri Mar  5 10:02:59 2021,    pH:6.79 ,    pH:6.52 
Fri Mar  5 10:08:01 2021,    pH:6.83 ,    pH:6.54 
Fri Mar  5 10:13:03 2021,    pH:6.83 ,    pH:6.52 
Fri Mar  5 10:18:05 2021,    pH:6.82 ,    pH:6.52 
Fri Mar  5 10:23:07 2021,    pH:6.81 ,    pH:6.51 
Fri Mar  5 10:28:08 2021,    pH:6.76 ,    pH:6.49 
Fri Mar  5 10:33:10 2021,    pH:6.78 ,    pH:6.50 
Fri Mar  5 10:38:12 2021,    pH:6.77 ,    pH:6.49 
Fri Mar  5 10:43:14 2021,    pH:6.81 ,    pH:6.53 
Fri Mar  5 10:48:15 2021,    pH:6.81 ,    pH:6.53 
Fri Mar  5 10:53:17 2021,    pH:6.81 ,    pH:6.51 
Fri Mar  5 10:58:19 2021,    pH:6.82 ,    pH:6.52 
Fri Mar  5 11:03:21 2021,    pH:6.76 ,    pH:6.52 
Fri Mar  5 11:08:23 2021,    pH:6.80 ,    pH:6.52 
Fri Mar  5 11:13:24 2021,    pH:6.77 ,    pH:6.50 
Fri Mar  5 11:18:26 2021,    pH:6.80 ,    pH:6.52 
Fri Mar  5 11:23:28 2021,    pH:6.78 ,    pH:6.49 
Fri Mar  5 11:28:30 2021,    pH:6.78 ,    pH:6.50 
Fri Mar  5 11:33:32 2021,    pH:6.78 ,    pH:6.51 
Fri Mar  5 11:38:33 2021,    pH:6.77 ,    pH:6.50 
Fri Mar  5 11:43:35 2021,    pH:6.79 ,    pH:6.50 
Fri Mar  5 11:48:37 2021,    pH:6.76 ,    pH:6.49 
Fri Mar  5 11:53:39 2021,    pH:6.79 ,    pH:6.50 
