date,ACM1s2,ACM1s1,ACM0s2,ACM0s1
Fri Feb  5 19:30:43 2021,7.277,7.212,7.298,7.418
Fri Feb  5 19:35:44 2021,7.275,7.218,7.296,7.415
Fri Feb  5 19:40:44 2021,7.277,7.218,7.300,7.414
Fri Feb  5 19:45:44 2021,7.280,7.217,7.297,7.416
Fri Feb  5 19:50:45 2021,7.276,7.213,7.298,7.416
Fri Feb  5 19:55:28 2021,7.277,7.213,7.295,7.421
Fri Feb  5 20:00:29 2021,7.279,7.216,7.296,7.419
Fri Feb  5 20:05:30 2021,7.280,7.215,7.291,7.420
Fri Feb  5 20:10:30 2021,7.281,7.222,7.293,7.421
Fri Feb  5 20:15:31 2021,7.282,7.218,7.293,7.424
Fri Feb  5 20:20:32 2021,7.279,7.224,7.290,7.426
Fri Feb  5 20:25:33 2021,7.283,7.218,7.287,7.426
Fri Feb  5 20:30:33 2021,7.284,7.221,7.288,7.425
Fri Feb  5 20:35:34 2021,7.286,7.223,7.289,7.426
Fri Feb  5 20:40:35 2021,7.288,7.223,7.287,7.428
Fri Feb  5 20:45:35 2021,7.287,7.222,7.284,7.432
Fri Feb  5 20:50:36 2021,7.288,7.226,7.283,7.427
Fri Feb  5 20:55:37 2021,7.288,7.222,7.283,7.432
Fri Feb  5 21:00:38 2021,7.291,7.224,7.281,7.431
Fri Feb  5 21:05:38 2021,7.293,7.238,7.279,7.427
Fri Feb  5 21:10:39 2021,7.298,7.229,7.281,7.431
Fri Feb  5 21:15:40 2021,7.300,7.230,7.280,7.437
Fri Feb  5 21:20:40 2021,7.301,7.232,7.279,7.438
Fri Feb  5 21:25:41 2021,7.303,7.232,7.282,7.445
Fri Feb  5 21:30:42 2021,7.304,7.233,7.281,7.445
Fri Feb  5 21:35:43 2021,7.302,7.235,7.284,7.445
Fri Feb  5 21:40:34 2021,7.304,7.235,82,7.448
Fri Feb  5 21:45:44 2021,7.301,7.237,7.287,7.450
Fri Feb  5 21:50:45 2021,7.302,7.237,7.286,7.450
Fri Feb  5 21:55:37 2021,7.302,7.238,7.287,7.453
Fri Feb  5 22:00:38 2021,7.305,7.238,7.286,7.454
Fri Feb  5 22:05:39 2021,7.304,7.242,7.289,7.454
Fri Feb  5 22:10:40 2021,7.306,7.243,7.290,7.454
Fri Feb  5 22:15:41 2021,7.305,7.242,7.290,7.454
Fri Feb  5 22:20:42 2021,7.308,7.246,7.293,7.458
Fri Feb  5 22:25:43 2021,7.310,7.243,7.296,7.457
Fri Feb  5 22:30:10 2021,7.311,7.245,7.299,7.460
Fri Feb  5 22:35:29 2021,7.315,7.246,7.300,7.460
Fri Feb  5 22:40:30 2021,7.318,7.246,7.303,7.465
Fri Feb  5 22:45:30 2021,7.323,7.249,7.302,7.465
Fri Feb  5 22:50:31 2021,7.322,7.253,7.307,7.463
Fri Feb  5 22:55:32 2021,7.323,7.250,7.309,7.464
Fri Feb  5 23:00:32 2021,7.325,7.251,7.308,7.464
Fri Feb  5 23:05:33 2021,7.324,7.256,7.310,7.466
Fri Feb  5 23:10:34 2021,7.326,7.255,7.311,7.466
Fri Feb  5 23:15:34 2021,7.328,7.259,7.316,7.470
Fri Feb  5 23:20:35 2021,7.331,7.259,7.315,7.468
Fri Feb  5 23:25:36 2021,7.334,7.260,7.318,7.471
Fri Feb  5 23:30:36 2021,7.335,7.261,7.320,7.475
Fri Feb  5 23:35:37 2021,7.337,7.265,7.321,7.475
Fri Feb  5 23:40:38 2021,7.340,7.265,7.322,7.476
Fri Feb  5 23:45:38 2021,7.342,7.267,7.324,7.475
Fri Feb  5 23:50:39 2021,7.342,7.266,7.328,7.476
Fri Feb  5 23:55:40 2021,7.343,7.269,7.325,7.474
Sat Feb  6 00:00:40 2021,7.341,7.274,7.328,7.477
Sat Feb  6 00:05:41 2021,7.342,7.274,7.329,7.477
Sat Feb  6 00:10:41 2021,7.347,7.272,7.328,7.475
Sat Feb  6 00:15:42 2021,7.348,7.274,7.331,7.472
Sat Feb  6 00:20:43 2021,7.349,7.280,7.332,7.473
Sat Feb  6 00:25:43 2021,7.350,7.280,7.333,7.475
Sat Feb  6 00:30:44 2021,7.355,7.285,7.330,7.477
Sat Feb  6 00:35:45 2021,7.355,7.281,7.331,7.479
Sat Feb  6 00:40:24 2021,7.354,7.282,7.327,7.479
Sat Feb  6 00:45:25 2021,7.352,7.282,7.328,7.480
Sat Feb  6 00:50:26 2021,7.352,7.281,7.327,7.478
Sat Feb  6 00:55:27 2021,7.349,7.281,7.328,7.478
Sat Feb  6 01:00:28 2021,7.354,7.282,7.325,7.477
Sat Feb  6 01:05:28 2021,7.357,7.282,7.324,7.478
Sat Feb  6 01:10:29 2021,7.352,7.285,7.323,7.477
Sat Feb  6 01:15:30 2021,7.355,7.285,7.321,7.477
Sat Feb  6 01:20:31 2021,7.357,7.284,7.316,7.477
Sat Feb  6 01:25:32 2021,7.357,7.282,7.314,7.478
Sat Feb  6 01:30:33 2021,7.357,7.286,7.317,7.479
Sat Feb  6 01:35:34 2021,7.358,7.289,7.313,7.479
Sat Feb  6 01:40:35 2021,7.357,7.288,7.314,7.484
Sat Feb  6 01:45:36 2021,7.360,7.290,7.314,7.482
Sat Feb  6 01:50:37 2021,7.358,7.288,7.313,7.485
Sat Feb  6 01:55:38 2021,7.355,7.286,7.316,7.484
Sat Feb  6 02:00:39 2021,7.357,7.285,7.315,7.481
Sat Feb  6 02:05:40 2021,7.357,7.291,7.314,7.482
Sat Feb  6 02:10:40 2021,7.358,7.290,7.314,7.484
Sat Feb  6 02:15:41 2021,7.356,7.287,7.313,7.485
Sat Feb  6 02:20:42 2021,7.360,7.292,7.315,7.483
Sat Feb  6 02:25:43 2021,7.359,7.302,7.312,7.481
Sat Feb  6 02:30:29 2021,.359,7.302,7.314,7.483
Sat Feb  6 02:35:29 2021,7.362,7.302,7.315,7.486
