date,ACM1s2,ACM1s1,ACM0s2,ACM0s1
Sun Feb  7 20:15:33 2021,7.713,7.635,7.128,7.933
Sun Feb  7 20:20:34 2021,7.712,7.636,7.129,7.939
Sun Feb  7 20:25:34 2021,7.716,7.636,7.133,7.937
Sun Feb  7 20:30:35 2021,7.718,7.638,7.130,7.937
Sun Feb  7 20:35:36 2021,7.720,7.640,7.132,7.943
Sun Feb  7 20:40:37 2021,7.723,7.641,7.136,7.941
Sun Feb  7 20:45:38 2021,7.725,7.644,7.135,7.943
Sun Feb  7 20:50:39 2021,7.725,7.669,7.136,7.942
Sun Feb  7 20:55:40 2021,7.724,7.648,7.137,7.945
Sun Feb  7 21:00:41 2021,7.727,7.638,7.140,7.945
Sun Feb  7 21:05:42 2021,7.731,7.657,7.143,7.945
Sun Feb  7 21:10:43 2021,7.733,7.652,7.140,7.946
Sun Feb  7 21:15:44 2021,7.737,7.652,7.142,7.949
Sun Feb  7 21:20:45 2021,7.740,7.649,7.147,7.949
Sun Feb  7 21:25:22 2021,7.740,7.648,7.148,7.953
Sun Feb  7 21:30:23 2021,7.743,7.701,7.148,7.951
Sun Feb  7 21:35:23 2021,7.743,7.532,7.145,7.953
Sun Feb  7 21:40:24 2021,7.745,7.612,7.146,7.961
Sun Feb  7 21:45:24 2021,7.750,7.624,7.149,7.954
Sun Feb  7 21:50:25 2021,7.747,7.626,7.147,7.958
Sun Feb  7 21:55:26 2021,7.750,7.650,7.150,7.963
Sun Feb  7 22:00:26 2021,7.756,7.641,7.155,7.963
Sun Feb  7 22:05:27 2021,7.759,7.656,7.158,7.966
Sun Feb  7 22:10:28 2021,7.758,7.680,7.151,7.968
Sun Feb  7 22:15:28 2021,7.758,7.644,7.148,7.958
Sun Feb  7 22:20:29 2021,7.759,7.796,7.156,7.965
Sun Feb  7 22:25:29 2021,7.759,7.626,7.153,7.967
Sun Feb  7 22:30:30 2021,7.757,7.655,7.149,7.965
Sun Feb  7 22:35:30 2021,7.760,7.662,7.147,7.964
Sun Feb  7 22:40:31 2021,7.761,7.664,7.159,7.969
Sun Feb  7 22:45:31 2021,7.764,7.664,7.157,7.972
Sun Feb  7 22:50:32 2021,7.766,7.636,7.155,7.971
Sun Feb  7 22:55:32 2021,7.767,7.715,7.154,7.971
Sun Feb  7 23:00:33 2021,7.769,7.711,7.155,7.973
Sun Feb  7 23:05:33 2021,7.770,7.694,7.155,7.976
Sun Feb  7 23:10:33 2021,7.774,7.702,7.160,7.971
Sun Feb  7 23:15:34 2021,7.773,7.704,7.163,7.971
Sun Feb  7 23:20:34 2021,7.774,7.664,7.160,7.975
Sun Feb  7 23:25:35 2021,7.777,7.720,7.169,7.976
Sun Feb  7 23:30:36 2021,7.778,7.685,7.171,7.977
Sun Feb  7 23:35:36 2021,7.778,7.697,7.178,7.978
Sun Feb  7 23:40:37 2021,7.783,7.633,7.174,7.978
Sun Feb  7 23:45:37 2021,7.788,7.719,7.183,7.980
Sun Feb  7 23:50:38 2021,7.788,7.656,7.175,7.982
Sun Feb  7 23:55:38 2021,7.789,7.684,7.180,7.982
